"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"569","fl51",247,3,4,"Walczak1996",1996,"1996","fluvoxamine",150,150,"Fixed",150,"Licensed","Yes","Investigational",99,50,29,NA,NA,NA,NA,NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk",NA,NA,NA,"HAMD21",NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk"
"570","fl52",247,4,4,"Walczak1996",1996,"1996","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",200,77,22,NA,NA,NA,NA,NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk",NA,NA,NA,"HAMD21",NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk"
"575","l05",250,1,4,"Asnis2013 (LVM-MD-01, NCT00969709)",2011,"2013","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",179,41,3,175,-8.4,8.86,51,175,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","Moderate risk","41.3","0.61399999999999999","MMRM","HAMD17",24.6,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","Moderate risk"
"576","l06",250,2,4,"Asnis2013 (LVM-MD-01, NCT00969709)",2011,"2013","levomilnacipran",40,40,"Fixed",40,"Licensed","Yes","Investigational",181,51,13,176,-9.6,9.15,64,176,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk","41.6","0.68500000000000005","MMRM","HAMD17",24.7,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk"
"577","l07",250,3,4,"Asnis2013 (LVM-MD-01, NCT00969709)",2011,"2013","levomilnacipran",80,80,"Fixed",80,"Licensed","Yes","Investigational",181,60,26,177,-10.5,9.18,66,177,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk","41","0.62","MMRM","HAMD17",24.9,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk"
"578","l08",250,4,4,"Asnis2013 (LVM-MD-01, NCT00969709)",2011,"2013","levomilnacipran",120,120,"Fixed",120,"Licensed","Yes","Investigational",183,66,12,176,-10.8,9.42,73,176,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk","40.299999999999997","0.58899999999999997","MMRM","HAMD17",25,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","30","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","high","High risk"
"581","l11",252,1,3,"Bakish2014 (LVM-MD-10, NCT01377194)",2012,"2014","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",189,35,3,185,-11.3,10.47,57,185,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Low risk","42.3","0.624","MMRM","MADRS",31,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Low risk"
"582","l12",252,2,3,"Bakish2014 (LVM-MD-10, NCT01377194)",2012,"2014","levomilnacipran",40,40,"Fixed",40,"Licensed","Yes","Investigational",190,45,12,185,-14.6,10.75,83,185,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Moderate risk","42.9","0.622","MMRM","MADRS",30.8,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Moderate risk"
"583","l13",252,3,3,"Bakish2014 (LVM-MD-10, NCT01377194)",2012,"2014","levomilnacipran",80,80,"Fixed",80,"Licensed","Yes","Investigational",189,47,19,187,-14.4,10.8,73,187,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Moderate risk","43.1","0.66","MMRM","MADRS",31.2,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","26","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","unclear","Moderate risk"
"586","m01",254,1,3,"Ansseau1989a",1989,"1989","milnacipran",50,50,"Fixed",50,"Licensed","Unclear","Investigational",47,15,NA,42,11.4,7.9,23,42,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk","48.6","0.65600000000000003","LOCF","HAMD17",25.1,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk"
"587","m02",254,2,3,"Ansseau1989a",1989,"1989","milnacipran",100,100,"Fixed",100,"Licensed","Unclear","Investigational",48,9,NA,44,9.2,6.7,30,44,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk","48.6","0.65600000000000003","LOCF","HAMD17",24.4,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk"
"588","m03",254,3,3,"Ansseau1989a",1989,"1989","amitriptyline",150,150,"Fixed",150,"Licensed","No","Comparator",49,11,NA,45,8.1,5.7,35,45,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk","48.6","0.65600000000000003","LOCF","HAMD17",24.8,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","MADRS","25","Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","Moderate risk"
"591","m06",256,1,3,"Ansseau1991",1991,"1991","fluvoxamine",200,200,"Fixed",200,"Licensed","Unclear","Comparator",41,6,5,37,14.69,10.59,22,37,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk","46.6",NA,"Others","HAMD24",32.69,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk"
"592","m07",256,2,3,"Ansseau1991",1991,"1991","milnacipran",150,150,"Fixed",150,"Licensed","Unclear","Investigational",42,8,5,41,13.55,9.34,31,41,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk","49.9",NA,"Others","HAMD24",33.94,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk"
"593","m10",256,3,3,"Ansseau1991",1991,"1991","milnacipran",200,200,"Fixed",200,"Licensed","Unclear","Investigational",43,1,1,42,14.12,8.43,25,42,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk","46.5",NA,"Others","HAMD24",31.89,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","RDC","Inpatients only","Other",NA,"Yes",4,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk"
"594","m11",257,1,2,"Ansseau1994b",1994,"1994","milnacipran",100,100,"Fixed",100,"Licensed","Yes","Investigational",97,23,4,NA,NA,NA,32,74,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","MADRS","25","Yes",6,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk","44.8",NA,"OC","HAMD24",30.6,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","MADRS","25","Yes",6,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk"
"595","m12",257,2,2,"Ansseau1994b",1994,"1994","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",93,18,6,75,14.2,11.6,43,75,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","MADRS","25","Yes",6,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk","45",NA,"OC","HAMD24",32.4,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","MADRS","25","Yes",6,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk"
"598","m15",259,1,3,"Guelfi1998",1998,"1998","milnacipran",100,100,"Fixed",100,"Licensed","Yes","Investigational",100,48,6,92,-14.8,9.8,57,92,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Moderate risk","45.6",NA,"Others","HAMD17",27.9,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Moderate risk"
"599","m16",259,2,3,"Guelfi1998",1998,"1998","milnacipran",200,200,"Fixed",200,"Licensed","Yes","Investigational",100,51,10,96,-12.9,11.4,52,96,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Moderate risk","45.2",NA,"Others","HAMD17",27.7,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Moderate risk"
"600","m17",259,3,3,"Guelfi1998",1998,"1998","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",100,50,12,100,-12.1,10,51,100,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Low risk","45.8",NA,"Others","HAMD17",27.4,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Inpatients only","HAMD17","22","Yes",12,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","unclear","Low risk"
